date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-09-05,149.6611625219789,108.90867840569562,185.73976362925816,46303862950
2024-09-06,150.91028250962398,113.1063528153343,188.03256430505468,46303862950
2024-09-07,152.15940249726907,116.65414903053083,188.95230651507748,46303862950
2024-09-08,153.4085224849142,116.72182650441354,193.63989027459513,46303862950
2024-09-09,154.65764247255927,117.46460836324812,190.91030990856567,46303862950
2024-09-10,155.90676246020436,118.11544377925522,194.76450628708304,46303862950
2024-09-11,157.15588244784945,120.57670027237802,192.9570765867197,46303862950
2024-09-12,158.40500243549454,123.50210640532065,196.48619199503645,46303862950
2024-09-13,159.65412242313963,121.48797081641078,200.3967131793263,46303862950
2024-09-14,160.9032424107847,124.1220328561808,199.58644304872055,46303862950
